# index, s_values, normalised s_values, cumulative energy 
133,0.0773487,0.000818172,      0.9999839506
134,0.0758923,0.000802766,      0.9999844594
135,0.0749587,0.000792891,      0.9999849557
136,0.0742712,0.000785619,      0.9999854429
137,0.0733239,0.000775599,      0.9999859178
138,0.071286,0.000754042,      0.9999863667
139,0.0697712,0.000738019,      0.9999867966
140,0.0690849,0.000730759,      0.9999872182
141,0.0676658,0.000715749,      0.9999876226
142,0.0672158,0.000710989,      0.9999880217
143,0.0644948,0.000682207,      0.9999883891
144,0.0625596,0.000661737,      0.9999887348
145,0.0612654,0.000648047,      0.9999890663
146,0.0606371,0.000641402,      0.9999893911
147,0.0602861,0.000637688,      0.9999897121
148,0.0596918,0.000631402,      0.9999900268
149,0.0585757,0.000619596,      0.9999903299
150,0.0574986,0.000608203,      0.9999906219
151,0.0569396,0.000602291,      0.9999909083
152,0.055862,0.000590892,      0.9999911839
153,0.054243,0.000573766,      0.9999914438
154,0.0521507,0.000551635,       0.999991684
155,0.0511805,0.000541372,      0.9999919154
156,0.0506133,0.000535372,      0.9999921417
157,0.0500995,0.000529938,      0.9999923634
158,0.0493207,0.0005217,      0.9999925782
159,0.0488798,0.000517036,      0.9999927893
160,0.048176,0.000509591,      0.9999929943
161,0.0475877,0.000503368,      0.9999931943
162,0.0466271,0.000493208,      0.9999933863
163,0.0462645,0.000489372,      0.9999935754
164,0.0449361,0.000475321,      0.9999937538
165,0.0440517,0.000465966,      0.9999939252
166,0.0434768,0.000459885,      0.9999940921
167,0.0430217,0.000455071,      0.9999942556
168,0.0428998,0.000453781,      0.9999944182
169,0.0424512,0.000449036,      0.9999945773
170,0.0418624,0.000442809,      0.9999947321
171,0.0412548,0.000436381,      0.9999948825
172,0.0408022,0.000431593,      0.9999950295
173,0.0403419,0.000426725,      0.9999951733
174,0.039544,0.000418284,      0.9999953114
175,0.0387958,0.000410371,      0.9999954443
176,0.0377292,0.000399089,      0.9999955701
177,0.0375126,0.000396797,      0.9999956944
178,0.0373552,0.000395132,      0.9999958176
179,0.0359017,0.000379757,      0.9999959315
180,0.0356363,0.00037695,      0.9999960436
181,0.0344544,0.000364449,      0.9999961485
182,0.0338095,0.000357627,      0.9999962495
183,0.0331774,0.000350941,      0.9999963467
184,0.0328109,0.000347064,      0.9999964418
185,0.0322639,0.000341278,      0.9999965337
186,0.0318278,0.000336665,      0.9999966232
187,0.0313345,0.000331448,      0.9999967099
188,0.0308247,0.000326055,      0.9999967938
189,0.0298914,0.000316183,      0.9999968728
190,0.0294071,0.000311059,      0.9999969492
191,0.0292696,0.000309605,      0.9999970248
192,0.0286038,0.000302563,      0.9999970971
193,0.0280992,0.000297225,      0.9999971668
194,0.0280425,0.000296625,      0.9999972363
195,0.0277166,0.000293178,      0.9999973041
196,0.0269768,0.000285353,      0.9999973684
197,0.0268005,0.000283488,      0.9999974319
198,0.0264753,0.000280048,      0.9999974938
199,0.0259295,0.000274274,      0.9999975532
200,0.0257471,0.000272345,      0.9999976117
201,0.0255334,0.000270085,      0.9999976693
202,0.0253598,0.000268249,      0.9999977261
203,0.0249836,0.000264269,      0.9999977812
204,0.0245691,0.000259884,      0.9999978346
205,0.0243718,0.000257798,       0.999997887
206,0.0239913,0.000253773,      0.9999979379
207,0.023792,0.000251665,      0.9999979879
208,0.0232947,0.000246404,      0.9999980358
209,0.0229181,0.000242421,      0.9999980822
210,0.0226334,0.000239409,      0.9999981274
211,0.022256,0.000235417,      0.9999981712
212,0.0220622,0.000233367,      0.9999982142
213,0.0219042,0.000231696,      0.9999982566
214,0.0215917,0.000228391,      0.9999982977
215,0.0212579,0.000224859,      0.9999983377
216,0.0209632,0.000221742,      0.9999983765
217,0.0205125,0.000216975,      0.9999984136
218,0.0204073,0.000215862,      0.9999984504
219,0.0200768,0.000212367,       0.999998486
220,0.0196414,0.000207761,      0.9999985201
221,0.0194137,0.000205353,      0.9999985534
222,0.0191989,0.000203081,       0.999998586
223,0.0190671,0.000201686,      0.9999986181
224,0.018866,0.000199559,      0.9999986495
225,0.0187224,0.00019804,      0.9999986805
226,0.0183699,0.000194312,      0.9999987103
227,0.0181528,0.000192015,      0.9999987394
228,0.0180361,0.00019078,      0.9999987681
229,0.0177006,0.000187232,      0.9999987958
230,0.017448,0.00018456,      0.9999988227
231,0.0172792,0.000182774,       0.999998849
232,0.0170919,0.000180793,      0.9999988749
233,0.0168954,0.000178714,      0.9999989001
234,0.0166208,0.00017581,      0.9999989245
235,0.0164209,0.000173696,      0.9999989483
236,0.0163396,0.000172836,      0.9999989719
237,0.0162729,0.00017213,      0.9999989953
238,0.0158551,0.000167711,      0.9999990175
239,0.0157581,0.000166685,      0.9999990394
240,0.0156656,0.000165706,      0.9999990611
241,0.0155645,0.000164637,      0.9999990825
242,0.015404,0.000162939,      0.9999991034
243,0.0148166,0.000156726,      0.9999991228
244,0.0145817,0.000154241,      0.9999991416
245,0.0144549,0.000152899,      0.9999991601
246,0.014338,0.000151663,      0.9999991782
247,0.0142863,0.000151116,      0.9999991962
248,0.0140936,0.000149078,      0.9999992138
249,0.0138518,0.00014652,      0.9999992307
250,0.0135113,0.000142919,      0.9999992469
251,0.0134196,0.000141948,      0.9999992628
252,0.0132843,0.000140517,      0.9999992783
253,0.0131203,0.000138782,      0.9999992936
254,0.0128193,0.000135598,      0.9999993081
255,0.0127194,0.000134542,      0.9999993224
256,0.0126261,0.000133555,      0.9999993364
257,0.0124459,0.000131649,      0.9999993501
258,0.012297,0.000130074,      0.9999993635
259,0.0120298,0.000127248,      0.9999993763
260,0.0118746,0.000125606,      0.9999993887
261,0.0118172,0.000124998,      0.9999994011
262,0.0117057,0.00012382,      0.9999994132
263,0.0116035,0.000122738,       0.999999425
264,0.0114644,0.000121267,      0.9999994367
265,0.0114218,0.000120817,      0.9999994482
266,0.0113501,0.000120058,      0.9999994596
267,0.011212,0.000118597,      0.9999994707
268,0.0110059,0.000116417,      0.9999994814
269,0.0109036,0.000115335,      0.9999994919
270,0.0108426,0.00011469,      0.9999995022
271,0.010804,0.000114281,      0.9999995126
272,0.0106978,0.000113158,      0.9999995227
273,0.0105888,0.000112005,      0.9999995326
274,0.0105683,0.000111788,      0.9999995424
275,0.0104205,0.000110225,       0.999999552
276,0.010332,0.000109288,      0.9999995615
277,0.0102577,0.000108503,      0.9999995707
278,0.0101842,0.000107726,      0.9999995799
279,0.010065,0.000106464,      0.9999995889
280,0.0100388,0.000106188,      0.9999995978
281,0.00986711,0.000104371,      0.9999996064
282,0.00981692,0.00010384,      0.9999996149
283,0.00965521,0.00010213,      0.9999996231
284,0.00959683,0.000101512,      0.9999996312
285,0.00944919,9.99508e-05,      0.9999996391
286,0.00929347,9.83036e-05,      0.9999996468
287,0.00920927,9.74129e-05,      0.9999996542
288,0.0091176,9.64433e-05,      0.9999996616
289,0.00897633,9.4949e-05,      0.9999996687
290,0.00886904,9.38141e-05,      0.9999996757
291,0.00863679,9.13574e-05,      0.9999996822
292,0.00853542,9.02851e-05,      0.9999996887
293,0.00840731,8.89301e-05,      0.9999996949
294,0.00834419,8.82624e-05,      0.9999997011
295,0.00833003,8.81126e-05,      0.9999997072
296,0.00819476,8.66817e-05,      0.9999997131
297,0.00809317,8.56071e-05,      0.9999997189
298,0.00805483,8.52016e-05,      0.9999997246
299,0.0079772,8.43805e-05,      0.9999997303
300,0.00789984,8.35621e-05,      0.9999997358
301,0.00780255,8.25331e-05,      0.9999997412
302,0.00772922,8.17574e-05,      0.9999997464
303,0.00765561,8.09788e-05,      0.9999997516
304,0.00753999,7.97558e-05,      0.9999997566
305,0.00750927,7.94309e-05,      0.9999997616
306,0.00734168,7.76581e-05,      0.9999997664
307,0.00730936,7.73162e-05,      0.9999997711
308,0.00721305,7.62975e-05,      0.9999997757
309,0.00713389,7.54602e-05,      0.9999997802
310,0.00700157,7.40605e-05,      0.9999997845
311,0.00699283,7.39681e-05,      0.9999997888
312,0.00686556,7.26218e-05,       0.999999793
313,0.00679452,7.18704e-05,      0.9999997971
314,0.00670322,7.09047e-05,       0.999999801
315,0.00668098,7.06695e-05,       0.999999805
316,0.00666401,7.04899e-05,      0.9999998089
317,0.00654273,6.9207e-05,      0.9999998127
318,0.00650896,6.88499e-05,      0.9999998164
319,0.00644973,6.82234e-05,      0.9999998201
320,0.006323,6.68828e-05,      0.9999998236
321,0.00626798,6.63008e-05,      0.9999998271
322,0.00615144,6.50682e-05,      0.9999998305
323,0.00609762,6.44989e-05,      0.9999998337
324,0.00609037,6.44221e-05,       0.999999837
