# index, s_values, normalised s_values, cumulative energy 
133,0.0792711,0.00196331,      0.9999590474
134,0.078389,0.00194146,      0.9999607861
135,0.0777954,0.00192676,      0.9999624986
136,0.0745993,0.0018476,      0.9999640732
137,0.0725684,0.0017973,      0.9999655633
138,0.0701234,0.00173675,      0.9999669547
139,0.0693894,0.00171857,      0.9999683171
140,0.0679052,0.00168181,      0.9999696219
141,0.0659328,0.00163296,      0.9999708519
142,0.0637875,0.00157982,      0.9999720032
143,0.062219,0.00154098,      0.9999730986
144,0.0601956,0.00149087,      0.9999741239
145,0.0595442,0.00147473,      0.9999751271
146,0.0581695,0.00144068,      0.9999760845
147,0.0573243,0.00141975,      0.9999770143
148,0.0558529,0.00138331,       0.999977897
149,0.0547141,0.0013551,      0.9999787441
150,0.0544891,0.00134953,      0.9999795842
151,0.050523,0.0012513,      0.9999803065
152,0.0485826,0.00120325,      0.9999809743
153,0.0468414,0.00116012,      0.9999815952
154,0.0462024,0.0011443,      0.9999821992
155,0.0455695,0.00112862,      0.9999827868
156,0.0444389,0.00110062,      0.9999833455
157,0.0428866,0.00106217,       0.999983866
158,0.0423045,0.00104776,      0.9999843724
159,0.0419911,0.00103999,      0.9999848713
160,0.0414668,0.00102701,      0.9999853578
161,0.0409973,0.00101538,      0.9999858334
162,0.0405431,0.00100413,      0.9999862985
163,0.039731,0.000984017,      0.9999867452
164,0.0389157,0.000963825,      0.9999871737
165,0.0380912,0.000943404,      0.9999875843
166,0.037526,0.000929408,      0.9999879827
167,0.037208,0.000921532,      0.9999883744
168,0.035434,0.000877594,      0.9999887297
169,0.0351382,0.000870269,      0.9999890791
170,0.0342656,0.000848656,      0.9999894113
171,0.03394,0.000840591,      0.9999897373
172,0.0336741,0.000834008,      0.9999900581
173,0.0331731,0.000821597,      0.9999903695
174,0.0321887,0.000797217,      0.9999906627
175,0.0314508,0.000778942,      0.9999909425
176,0.0304723,0.000754707,      0.9999912053
177,0.0298448,0.000739166,      0.9999914573
178,0.0294931,0.000730455,      0.9999917034
179,0.0287019,0.000710859,      0.9999919365
180,0.0284675,0.000705055,      0.9999921658
181,0.0279406,0.000692004,      0.9999923867
182,0.0277508,0.000687305,      0.9999926047
183,0.0270454,0.000669833,      0.9999928116
184,0.0266754,0.000660669,       0.999993013
185,0.0264876,0.000656019,      0.9999932115
186,0.0259852,0.000643575,      0.9999934025
187,0.0256283,0.000634736,      0.9999935884
188,0.0255351,0.000632427,      0.9999937729
189,0.0246293,0.000609994,      0.9999939445
190,0.0242329,0.000600178,      0.9999941107
191,0.0235901,0.000584256,      0.9999942682
192,0.0233815,0.00057909,      0.9999944228
193,0.0229797,0.000569138,      0.9999945723
194,0.0224276,0.000555463,      0.9999947146
195,0.022385,0.000554409,      0.9999948564
196,0.0220872,0.000547033,      0.9999949944
197,0.0218146,0.000540283,      0.9999951291
198,0.0216405,0.00053597,      0.9999952616
199,0.0211734,0.000524402,      0.9999953884
200,0.0207442,0.000513771,      0.9999955102
201,0.020533,0.00050854,      0.9999956295
202,0.0203411,0.000503787,      0.9999957466
203,0.0201661,0.000499454,      0.9999958616
204,0.0198887,0.000492582,      0.9999959736
205,0.019492,0.000482758,      0.9999960811
206,0.0194479,0.000481666,      0.9999961881
207,0.0188307,0.00046638,      0.9999962884
208,0.0186732,0.00046248,      0.9999963871
209,0.0182625,0.000452307,      0.9999964815
210,0.018016,0.000446201,      0.9999965733
211,0.0178285,0.000441559,      0.9999966632
212,0.0173826,0.000430516,      0.9999967487
213,0.0171496,0.000424744,      0.9999968319
214,0.017023,0.000421608,      0.9999969139
215,0.0166519,0.000412418,      0.9999969924
216,0.0166143,0.000411486,      0.9999970705
217,0.0164233,0.000406755,      0.9999971468
218,0.0162739,0.000403056,      0.9999972218
219,0.0161095,0.000398985,      0.9999972952
220,0.0157496,0.000390069,      0.9999973654
221,0.0155832,0.00038595,      0.9999974341
222,0.0154656,0.000383037,      0.9999975018
223,0.0152318,0.000377245,      0.9999975674
224,0.01482,0.000367048,      0.9999976296
225,0.0145118,0.000359413,      0.9999976892
226,0.0143244,0.000354771,      0.9999977472
227,0.0141754,0.000351081,      0.9999978041
228,0.0140325,0.000347543,      0.9999978598
229,0.0136913,0.000339092,      0.9999979128
230,0.0136451,0.000337948,      0.9999979655
231,0.0135571,0.000335767,      0.9999980175
232,0.0133176,0.000329837,      0.9999980677
233,0.0132422,0.000327971,      0.9999981173
234,0.0130821,0.000324005,      0.9999981657
235,0.0129585,0.000320944,      0.9999982133
236,0.0128216,0.000317551,      0.9999982598
237,0.0126909,0.000314315,      0.9999983054
238,0.0125092,0.000309815,      0.9999983496
239,0.0121605,0.00030118,      0.9999983915
240,0.0120797,0.000299179,      0.9999984328
241,0.0117938,0.000292098,      0.9999984721
242,0.0117349,0.000290637,      0.9999985111
243,0.0115081,0.000285022,      0.9999985486
244,0.0113579,0.000281301,      0.9999985851
245,0.0112789,0.000279344,      0.9999986211
246,0.0112071,0.000277567,      0.9999986566
247,0.011029,0.000273155,       0.999998691
248,0.0110079,0.000272632,      0.9999987253
249,0.0107686,0.000266705,      0.9999987581
250,0.0104399,0.000258565,       0.999998789
251,0.0102592,0.00025409,      0.9999988187
252,0.010044,0.000248761,      0.9999988473
253,0.00987468,0.000244566,      0.9999988749
254,0.0097167,0.000240654,      0.9999989016
255,0.00968232,0.000239802,      0.9999989281
256,0.00958995,0.000237514,      0.9999989541
257,0.00936458,0.000231933,      0.9999989789
258,0.00929596,0.000230233,      0.9999990034
259,0.00915985,0.000226862,      0.9999990271
260,0.00907011,0.000224639,      0.9999990504
261,0.0089993,0.000222886,      0.9999990733
262,0.00875172,0.000216754,       0.999999095
263,0.00859978,0.000212991,      0.9999991159
264,0.00852128,0.000211047,      0.9999991365
265,0.00842428,0.000208644,      0.9999991566
266,0.00832661,0.000206225,      0.9999991762
267,0.00813667,0.000201521,      0.9999991949
268,0.00801466,0.000198499,      0.9999992131
269,0.00792389,0.000196251,      0.9999992309
270,0.00776413,0.000192294,      0.9999992479
271,0.00768036,0.000190219,      0.9999992646
272,0.00762839,0.000188932,      0.9999992811
273,0.00757373,0.000187579,      0.9999992973
274,0.00752906,0.000186472,      0.9999993133
275,0.00744261,0.000184331,       0.999999329
276,0.00736604,0.000182435,      0.9999993444
277,0.00720515,0.00017845,      0.9999993591
278,0.00710195,0.000175894,      0.9999993733
279,0.00701367,0.000173708,      0.9999993872
280,0.00694049,0.000171895,      0.9999994009
281,0.00681394,0.000168761,       0.999999414
282,0.00674267,0.000166996,      0.9999994269
283,0.00667933,0.000165427,      0.9999994395
284,0.00663995,0.000164452,       0.999999452
285,0.006599,0.000163437,      0.9999994643
286,0.00651043,0.000161244,      0.9999994763
287,0.00636282,0.000157588,      0.9999994877
288,0.00628477,0.000155655,      0.9999994989
