# index, s_values, normalised s_values, cumulative energy 
151,0.054489,0.000318691,      0.9999977981
152,0.0505219,0.000295488,       0.999997876
153,0.048582,0.000284142,       0.999997948
154,0.0468411,0.00027396,       0.999998015
155,0.0462019,0.000270222,      0.9999980801
156,0.0455694,0.000266522,      0.9999981435
157,0.0444389,0.00025991,      0.9999982038
158,0.0428865,0.000250831,      0.9999982599
159,0.0423045,0.000247427,      0.9999983145
160,0.0419909,0.000245593,      0.9999983683
161,0.0414667,0.000242527,      0.9999984208
162,0.0409973,0.000239781,      0.9999984721
163,0.040543,0.000237125,      0.9999985223
164,0.0397299,0.000232369,      0.9999985704
165,0.0389153,0.000227604,      0.9999986167
166,0.0380903,0.000222779,      0.9999986609
167,0.0375259,0.000219478,      0.9999987039
168,0.0372066,0.000217611,      0.9999987462
169,0.0354325,0.000207235,      0.9999987845
170,0.0351374,0.000205509,      0.9999988222
171,0.034265,0.000200406,       0.999998858
172,0.0339397,0.000198503,      0.9999988931
173,0.0336741,0.00019695,      0.9999989277
174,0.0331724,0.000194016,      0.9999989613
175,0.0321883,0.00018826,       0.999998993
176,0.0314483,0.000183932,      0.9999990231
177,0.0304717,0.00017822,      0.9999990515
178,0.0298447,0.000174553,      0.9999990787
179,0.0294931,0.000172496,      0.9999991052
180,0.0287011,0.000167865,      0.9999991303
181,0.0284674,0.000166498,      0.9999991551
182,0.0279398,0.000163412,      0.9999991789
183,0.0277505,0.000162304,      0.9999992024
184,0.0270449,0.000158178,      0.9999992247
185,0.0266753,0.000156016,      0.9999992464
186,0.0264862,0.00015491,      0.9999992678
187,0.0259848,0.000151978,      0.9999992884
188,0.0256282,0.000149892,      0.9999993085
189,0.0255345,0.000149344,      0.9999993284
190,0.0246292,0.000144049,      0.9999993469
191,0.0242329,0.000141731,      0.9999993648
192,0.0235898,0.00013797,      0.9999993818
193,0.023381,0.000136749,      0.9999993985
194,0.0229791,0.000134398,      0.9999994146
195,0.0224267,0.000131167,        0.99999943
196,0.0223845,0.000130921,      0.9999994452
197,0.022087,0.00012918,      0.9999994601
198,0.0218146,0.000127587,      0.9999994747
199,0.0216405,0.000126569,      0.9999994889
200,0.021173,0.000123835,      0.9999995026
201,0.0207442,0.000121327,      0.9999995158
202,0.0205329,0.000120091,      0.9999995286
203,0.020341,0.000118969,      0.9999995413
204,0.0201661,0.000117946,      0.9999995537
205,0.0198885,0.000116322,      0.9999995657
206,0.0194919,0.000114003,      0.9999995773
207,0.0194476,0.000113744,      0.9999995889
208,0.0188293,0.000110127,      0.9999995997
209,0.0186732,0.000109214,      0.9999996103
210,0.0182624,0.000106811,      0.9999996205
211,0.018016,0.00010537,      0.9999996304
212,0.0178285,0.000104274,      0.9999996401
213,0.0173824,0.000101665,      0.9999996493
214,0.0171493,0.000100302,      0.9999996583
215,0.0170225,9.95598e-05,      0.9999996672
216,0.0166517,9.73911e-05,      0.9999996756
217,0.0166143,9.71721e-05,       0.999999684
218,0.0164223,9.60493e-05,      0.9999996923
219,0.0162735,9.51793e-05,      0.9999997004
220,0.0161095,9.422e-05,      0.9999997083
221,0.0157495,9.21141e-05,      0.9999997158
222,0.0155832,9.11419e-05,      0.9999997233
223,0.015465,9.04505e-05,      0.9999997306
224,0.0152317,8.90861e-05,      0.9999997376
225,0.01482,8.6678e-05,      0.9999997443
226,0.0145117,8.4875e-05,      0.9999997508
227,0.0143242,8.37784e-05,       0.999999757
228,0.0141751,8.29063e-05,      0.9999997632
229,0.0140324,8.20715e-05,      0.9999997692
230,0.0136912,8.0076e-05,      0.9999997749
231,0.0136451,7.98061e-05,      0.9999997806
232,0.013557,7.92911e-05,      0.9999997862
233,0.0133175,7.78905e-05,      0.9999997916
234,0.0132422,7.745e-05,      0.9999997969
235,0.013082,7.6513e-05,      0.9999998022
236,0.0129584,7.57902e-05,      0.9999998073
237,0.0128216,7.49896e-05,      0.9999998123
238,0.0126908,7.4225e-05,      0.9999998172
239,0.0125092,7.31626e-05,       0.999999822
240,0.0121605,7.11232e-05,      0.9999998265
241,0.0120797,7.06507e-05,       0.999999831
242,0.0117938,6.89788e-05,      0.9999998352
243,0.0117349,6.86338e-05,      0.9999998394
244,0.011508,6.73071e-05,      0.9999998435
245,0.0113578,6.64288e-05,      0.9999998474
246,0.0112787,6.59656e-05,      0.9999998513
247,0.0112071,6.55473e-05,      0.9999998551
248,0.011029,6.45054e-05,      0.9999998588
249,0.0110079,6.43819e-05,      0.9999998625
250,0.0107685,6.29821e-05,      0.9999998661
251,0.0104399,6.106e-05,      0.9999998694
252,0.0102591,6.00028e-05,      0.9999998726
253,0.010044,5.87446e-05,      0.9999998757
254,0.00987468,5.77542e-05,      0.9999998787
255,0.0097167,5.68302e-05,      0.9999998815
256,0.00968231,5.66291e-05,      0.9999998844
257,0.00958995,5.60889e-05,      0.9999998872
258,0.00936458,5.47707e-05,      0.9999998899
259,0.00929589,5.4369e-05,      0.9999998925
260,0.00915982,5.35732e-05,      0.9999998951
261,0.0090701,5.30484e-05,      0.9999998976
262,0.0089993,5.26343e-05,      0.9999999001
263,0.00875166,5.1186e-05,      0.9999999024
264,0.00859976,5.02976e-05,      0.9999999046
265,0.00852126,4.98384e-05,      0.9999999069
266,0.00842424,4.9271e-05,       0.999999909
267,0.00832661,4.86999e-05,      0.9999999111
268,0.00813664,4.75889e-05,      0.9999999132
269,0.00801466,4.68754e-05,      0.9999999151
270,0.00792388,4.63445e-05,       0.999999917
271,0.00776413,4.54102e-05,      0.9999999189
272,0.00768035,4.49201e-05,      0.9999999207
273,0.00762829,4.46157e-05,      0.9999999225
274,0.00757369,4.42963e-05,      0.9999999242
275,0.00752905,4.40353e-05,      0.9999999259
276,0.00744261,4.35297e-05,      0.9999999276
277,0.00736602,4.30817e-05,      0.9999999293
278,0.00720511,4.21407e-05,      0.9999999309
279,0.00710185,4.15367e-05,      0.9999999324
280,0.00701367,4.1021e-05,      0.9999999339
281,0.00694049,4.05929e-05,      0.9999999354
282,0.00681392,3.98526e-05,      0.9999999368
283,0.00674265,3.94358e-05,      0.9999999382
284,0.00667933,3.90655e-05,      0.9999999395
285,0.00663983,3.88344e-05,      0.9999999409
