# index, s_values, normalised s_values, cumulative energy 
59,0.561774,0.003323,      0.9997717691
60,0.541254,0.00320162,      0.9997807494
61,0.515165,0.0030473,      0.9997888848
62,0.511932,0.00302818,      0.9997969184
63,0.503313,0.0029772,      0.9998046838
64,0.486064,0.00287516,       0.999811926
65,0.483069,0.00285745,      0.9998190793
66,0.476909,0.00282101,      0.9998260513
67,0.471886,0.0027913,      0.9998328772
68,0.443222,0.00262175,       0.999838899
69,0.438888,0.00259611,      0.9998448037
70,0.432258,0.00255689,      0.9998505313
71,0.419712,0.00248268,      0.9998559312
72,0.415271,0.00245641,      0.9998612175
73,0.402381,0.00238016,      0.9998661807
74,0.391317,0.00231472,      0.9998708747
75,0.388078,0.00229555,      0.9998754913
76,0.370775,0.00219321,      0.9998797054
77,0.363988,0.00215306,      0.9998837667
78,0.357588,0.0021152,      0.9998876864
79,0.349933,0.00206992,        0.99989144
80,0.345903,0.00204608,      0.9998951077
81,0.335744,0.00198599,      0.9998985632
82,0.326929,0.00193385,      0.9999018396
83,0.32026,0.0018944,      0.9999049836
84,0.315924,0.00186875,      0.9999080431
85,0.306151,0.00181094,      0.9999109163
86,0.299348,0.0017707,      0.9999136632
87,0.291273,0.00172294,      0.9999162638
88,0.286336,0.00169374,      0.9999187771
89,0.283601,0.00167756,      0.9999212426
90,0.276604,0.00163616,      0.9999235879
91,0.273706,0.00161903,      0.9999258844
92,0.270759,0.00160159,      0.9999281316
93,0.26604,0.00157368,      0.9999303012
94,0.263512,0.00155872,      0.9999324298
95,0.258075,0.00152657,      0.9999344714
96,0.25495,0.00150808,      0.9999364639
97,0.248835,0.00147191,       0.999938362
98,0.240526,0.00142276,      0.9999401354
99,0.23987,0.00141888,      0.9999418991
100,0.227974,0.00134851,      0.9999434923
101,0.224566,0.00132835,      0.9999450382
102,0.223247,0.00132055,       0.999946566
103,0.221017,0.00130736,      0.9999480633
104,0.213655,0.00126381,      0.9999494627
105,0.208679,0.00123438,      0.9999507975
106,0.206352,0.00122061,      0.9999521028
107,0.202898,0.00120018,      0.9999533648
108,0.200226,0.00118438,      0.9999545937
109,0.195055,0.00115379,        0.99995576
110,0.189661,0.00112188,      0.9999568626
111,0.188397,0.00111441,      0.9999579507
112,0.186669,0.00110418,      0.9999590188
113,0.185556,0.0010976,      0.9999600742
114,0.182576,0.00107997,      0.9999610961
115,0.180677,0.00106874,      0.9999620967
116,0.177538,0.00105017,      0.9999630629
117,0.176552,0.00104434,      0.9999640184
118,0.175825,0.00104004,      0.9999649661
119,0.173067,0.00102372,      0.9999658842
120,0.166572,0.000985304,      0.9999667348
121,0.164767,0.000974631,       0.999967567
122,0.16282,0.000963109,      0.9999683796
123,0.160828,0.000951326,      0.9999691725
124,0.156625,0.00092647,      0.9999699245
125,0.156129,0.000923533,      0.9999706717
126,0.154933,0.000916462,      0.9999714075
127,0.153869,0.000910166,      0.9999721333
128,0.151585,0.000896656,      0.9999728377
129,0.148909,0.000880828,      0.9999735174
130,0.147483,0.000872392,      0.9999741841
131,0.142313,0.000841812,       0.999974805
132,0.140012,0.000828197,      0.9999754059
133,0.138036,0.000816511,        0.99997599
134,0.135913,0.00080395,      0.9999765562
135,0.132743,0.000785198,      0.9999770964
136,0.13043,0.00077152,      0.9999776178
137,0.127874,0.0007564,      0.9999781191
138,0.127302,0.000753015,      0.9999786159
139,0.125209,0.000740638,      0.9999790964
140,0.12281,0.000726447,      0.9999795588
141,0.121472,0.000718532,      0.9999800111
142,0.120077,0.000710277,      0.9999804531
143,0.117311,0.000693917,      0.9999808749
144,0.116816,0.000690989,      0.9999812932
145,0.115645,0.000684065,      0.9999817032
146,0.113324,0.000670332,      0.9999820969
147,0.111827,0.000661478,      0.9999824802
148,0.110707,0.000654852,      0.9999828559
149,0.10786,0.000638014,      0.9999832125
150,0.107069,0.000633337,      0.9999835639
151,0.104195,0.000616336,      0.9999838967
152,0.103052,0.00060957,      0.9999842223
153,0.102136,0.000604157,       0.999984542
154,0.100501,0.000594481,      0.9999848516
155,0.0997173,0.000589847,      0.9999851565
156,0.0978553,0.000578833,        0.99998545
157,0.0967846,0.0005725,      0.9999857371
158,0.0958536,0.000566993,      0.9999860188
159,0.0952926,0.000563674,      0.9999862971
160,0.0940519,0.000556335,      0.9999865683
161,0.0937336,0.000554453,      0.9999868376
